Epoch [97/4032], Loss: 0.0005
Epoch [97/4064], Loss: 0.0005
Epoch [97/4096], Loss: 0.0005
Epoch [97/4128], Loss: 0.0005
Epoch [97/4160], Loss: 0.0005
Epoch [97/4192], Loss: 0.0006
Epoch [97/4224], Loss: 0.0004
Epoch [97/4256], Loss: 0.0006
Epoch [97/4288], Loss: 0.0004
Epoch [97/4320], Loss: 0.0009
Epoch [97/4352], Loss: 0.0005
Epoch [97/4384], Loss: 0.0005
Epoch [97/4416], Loss: 0.0004
Epoch [97/4448], Loss: 0.0005
Epoch [97/4480], Loss: 0.0005
Epoch [97/4512], Loss: 0.0011
Epoch [97/4544], Loss: 0.0004
Epoch [97/4576], Loss: 0.0007
Epoch [97/4608], Loss: 0.0006
Epoch [97/4640], Loss: 0.0006
Epoch [97/4672], Loss: 0.0003
Epoch [97/4704], Loss: 0.0005
Epoch [97/4736], Loss: 0.0005
Epoch [97/4768], Loss: 0.0011
Epoch [97/4800], Loss: 0.0007
Epoch [97/4832], Loss: 0.0008
Epoch [97/4864], Loss: 0.0005
Epoch [97/4896], Loss: 0.0007
Epoch [97/4928], Loss: 0.0005
Epoch [97/4960], Loss: 0.0005
Epoch [97/4992], Loss: 0.0005
Epoch [97/5024], Loss: 0.0004
Epoch [97/5056], Loss: 0.0009
Epoch [97/5088], Loss: 0.0004
Epoch [97/5120], Loss: 0.0003
Epoch [97/5152], Loss: 0.0006
Epoch [97/5184], Loss: 0.0005
Epoch [97/5216], Loss: 0.0007
Epoch [97/5248], Loss: 0.0004
Epoch [97/5280], Loss: 0.0004
Epoch [97/5312], Loss: 0.0004
Epoch [97/5344], Loss: 0.0006
Epoch [97/5376], Loss: 0.0005
Epoch [97/5408], Loss: 0.0006
Epoch [97/5440], Loss: 0.0007
Epoch [97/5472], Loss: 0.0017
Epoch [97/5504], Loss: 0.0008
Epoch [97/5536], Loss: 0.0006
Epoch [97/5568], Loss: 0.0008
Epoch [97/5600], Loss: 0.0006
Epoch [97/5632], Loss: 0.0004
Epoch [97/5664], Loss: 0.0013
Epoch [97/5696], Loss: 0.0006
Epoch [97/5728], Loss: 0.0005
Epoch [97/5760], Loss: 0.0004
Epoch [97/5792], Loss: 0.0006
Epoch [97/5824], Loss: 0.0007
Epoch [97/5856], Loss: 0.0005
Epoch [97/5888], Loss: 0.0005
Epoch [97/5920], Loss: 0.0007
Epoch [97/5952], Loss: 0.0009
Epoch [97/5984], Loss: 0.0009
Epoch [97/6016], Loss: 0.0008
Epoch [97/6048], Loss: 0.0004
Epoch [97/6080], Loss: 0.0006
Epoch [97/6112], Loss: 0.0003
Epoch [97/6144], Loss: 0.0004
Epoch [97/6176], Loss: 0.0004
Epoch [97/6208], Loss: 0.0004
Epoch [97/6240], Loss: 0.0004
Epoch [97/6272], Loss: 0.0006
Epoch [97/6304], Loss: 0.0008
Epoch [97/6336], Loss: 0.0005
Epoch [97/6368], Loss: 0.0005
Epoch [97/6400], Loss: 0.0005
Epoch [97/6432], Loss: 0.0010
Epoch [97/6464], Loss: 0.0010
Epoch [97/6496], Loss: 0.0006
Epoch [97/6528], Loss: 0.0006
Epoch [97/6560], Loss: 0.0006
Epoch [97/6592], Loss: 0.0003
Epoch [97/6624], Loss: 0.0005
Epoch [97/6656], Loss: 0.0007
Epoch [97/6688], Loss: 0.0004
Epoch [97/6720], Loss: 0.0007
Epoch [97/6752], Loss: 0.0005
Epoch [97/6784], Loss: 0.0005
Epoch [97/6816], Loss: 0.0004
Epoch [97/6848], Loss: 0.0005
Epoch [97/6880], Loss: 0.0005
Epoch [97/6912], Loss: 0.0010
Epoch [97/6944], Loss: 0.0005
Epoch [97/6976], Loss: 0.0006
Epoch [97/7008], Loss: 0.0016
Epoch [97/7040], Loss: 0.0005
Epoch [97/7072], Loss: 0.0013
Epoch [97/7104], Loss: 0.0005
Epoch [97/7136], Loss: 0.0004
Epoch [97/7168], Loss: 0.0004
Epoch [97/7200], Loss: 0.0005
Epoch [97/7232], Loss: 0.0009
Epoch [97/7264], Loss: 0.0006
Epoch [97/7296], Loss: 0.0005
Epoch [97/7328], Loss: 0.0004
Epoch [97/7360], Loss: 0.0003
Epoch [97/7392], Loss: 0.0006
Epoch [97/7424], Loss: 0.0017
Epoch [97/7456], Loss: 0.0005
Epoch [97/7488], Loss: 0.0008
Epoch [97/7520], Loss: 0.0016
Epoch [97/7552], Loss: 0.0014
Epoch [97/7584], Loss: 0.0006
Epoch [97/7616], Loss: 0.0003
Epoch [97/7648], Loss: 0.0004
Epoch [97/7680], Loss: 0.0004
Epoch [97/7712], Loss: 0.0006
Epoch [97/7744], Loss: 0.0008
Epoch [97/7776], Loss: 0.0004
Epoch [97/7808], Loss: 0.0004
Epoch [97/7840], Loss: 0.0015
Epoch [97/7872], Loss: 0.0006
Epoch [97/7904], Loss: 0.0005
Epoch [97/7936], Loss: 0.0005
Epoch [97/7968], Loss: 0.0006
Epoch [97/8000], Loss: 0.0003
Epoch [97/8032], Loss: 0.0008
Epoch [97/8064], Loss: 0.0004
Epoch [97/8096], Loss: 0.0006
Epoch [97/8128], Loss: 0.0007
Epoch [97/8160], Loss: 0.0008
Epoch [97/8192], Loss: 0.0005
Epoch [97/8224], Loss: 0.0006
Epoch [97/8256], Loss: 0.0003
Epoch [97/8288], Loss: 0.0006
Epoch [97/8320], Loss: 0.0003
Epoch [97/8352], Loss: 0.0008
Epoch [97/8384], Loss: 0.0004
Epoch [97/8416], Loss: 0.0005
Epoch [97/8448], Loss: 0.0004
Epoch [97/8480], Loss: 0.0004
Epoch [97/8512], Loss: 0.0005
Epoch [97/8544], Loss: 0.0005
Epoch [97/8576], Loss: 0.0006
Epoch [97/8608], Loss: 0.0003
Epoch [97/8640], Loss: 0.0007
Epoch [97/8672], Loss: 0.0005
Epoch [97/8704], Loss: 0.0008
Epoch [97/8736], Loss: 0.0009
Epoch [97/8768], Loss: 0.0004
Epoch [97/8800], Loss: 0.0004
Epoch [97/8832], Loss: 0.0006
Epoch [97/8864], Loss: 0.0004
Epoch [97/8896], Loss: 0.0010
Epoch [97/8928], Loss: 0.0015
Epoch [97/8960], Loss: 0.0003
Epoch [97/8992], Loss: 0.0005
Epoch [97/9024], Loss: 0.0013
Epoch [97/9056], Loss: 0.0018
Epoch [97/9088], Loss: 0.0005
Epoch [97/9120], Loss: 0.0006
Epoch [97/9152], Loss: 0.0004
Epoch [97/9184], Loss: 0.0005
Epoch [97/9216], Loss: 0.0007
Epoch [97/9248], Loss: 0.0006
Epoch [97/9280], Loss: 0.0004
Epoch [97/9312], Loss: 0.0005
Epoch [97/9344], Loss: 0.0005
Epoch [97/9376], Loss: 0.0005
Epoch [97/9408], Loss: 0.0005
Epoch [97/9440], Loss: 0.0005
Epoch [97/9472], Loss: 0.0005
Epoch [97/9504], Loss: 0.0007
Epoch [97/9536], Loss: 0.0006
Epoch [97/9568], Loss: 0.0004
Epoch [97/9600], Loss: 0.0003
Epoch [97/9632], Loss: 0.0005
Epoch [97/9664], Loss: 0.0005
Epoch [97/9696], Loss: 0.0005
Epoch [97/9728], Loss: 0.0004
Epoch [97/9760], Loss: 0.0011
Epoch [97/9792], Loss: 0.0006
Epoch [97/9824], Loss: 0.0005
Epoch [97/9856], Loss: 0.0004
Epoch [97/9888], Loss: 0.0007
Epoch [97/9920], Loss: 0.0006
Epoch [97/9952], Loss: 0.0005
Epoch [97/9984], Loss: 0.0004
Epoch [97/10016], Loss: 0.0005
Epoch [97/10048], Loss: 0.0007
Epoch [97/10080], Loss: 0.0004
Epoch [97/10112], Loss: 0.0006
Epoch [97/10144], Loss: 0.0004
Epoch [97/10176], Loss: 0.0006
Epoch [97/10208], Loss: 0.0005
Epoch [97/10240], Loss: 0.0004
Epoch [97/10272], Loss: 0.0006
Epoch [97/10304], Loss: 0.0006
Epoch [97/10336], Loss: 0.0005
Epoch [97/10368], Loss: 0.0005
Epoch [97/9425], Loss: 0.0005
Epoch [98/0], Loss: 0.0005
Epoch [98/32], Loss: 0.0005
Epoch [98/64], Loss: 0.0004
Epoch [98/96], Loss: 0.0005
Epoch [98/128], Loss: 0.0005
Epoch [98/160], Loss: 0.0003
Epoch [98/192], Loss: 0.0012
Epoch [98/224], Loss: 0.0009
Epoch [98/256], Loss: 0.0004
Epoch [98/288], Loss: 0.0004
Epoch [98/320], Loss: 0.0006
Epoch [98/352], Loss: 0.0009
Epoch [98/384], Loss: 0.0005
Epoch [98/416], Loss: 0.0009
Epoch [98/448], Loss: 0.0008
Epoch [98/480], Loss: 0.0004
Epoch [98/512], Loss: 0.0009
Epoch [98/544], Loss: 0.0004
Epoch [98/576], Loss: 0.0007
Epoch [98/608], Loss: 0.0005
Epoch [98/640], Loss: 0.0011
Epoch [98/672], Loss: 0.0004
Epoch [98/704], Loss: 0.0005
Epoch [98/736], Loss: 0.0006
Epoch [98/768], Loss: 0.0007
Epoch [98/800], Loss: 0.0005
Epoch [98/832], Loss: 0.0002
Epoch [98/864], Loss: 0.0003
Epoch [98/896], Loss: 0.0010
Epoch [98/928], Loss: 0.0005
Epoch [98/960], Loss: 0.0007
Epoch [98/992], Loss: 0.0010
Epoch [98/1024], Loss: 0.0009
Epoch [98/1056], Loss: 0.0008
Epoch [98/1088], Loss: 0.0005
Epoch [98/1120], Loss: 0.0004
Epoch [98/1152], Loss: 0.0005
Epoch [98/1184], Loss: 0.0005
Epoch [98/1216], Loss: 0.0005
Epoch [98/1248], Loss: 0.0007
Epoch [98/1280], Loss: 0.0005
Epoch [98/1312], Loss: 0.0004
Epoch [98/1344], Loss: 0.0003
Epoch [98/1376], Loss: 0.0014
Epoch [98/1408], Loss: 0.0006
Epoch [98/1440], Loss: 0.0007
Epoch [98/1472], Loss: 0.0004
Epoch [98/1504], Loss: 0.0007
Epoch [98/1536], Loss: 0.0005
Epoch [98/1568], Loss: 0.0006
Epoch [98/1600], Loss: 0.0004
Epoch [98/1632], Loss: 0.0007
Epoch [98/1664], Loss: 0.0004
Epoch [98/1696], Loss: 0.0015
Epoch [98/1728], Loss: 0.0005
Epoch [98/1760], Loss: 0.0007
Epoch [98/1792], Loss: 0.0004
Epoch [98/1824], Loss: 0.0004
Epoch [98/1856], Loss: 0.0007
Epoch [98/1888], Loss: 0.0012
Epoch [98/1920], Loss: 0.0004
Epoch [98/1952], Loss: 0.0005
Epoch [98/1984], Loss: 0.0005
Epoch [98/2016], Loss: 0.0005
Epoch [98/2048], Loss: 0.0007
Epoch [98/2080], Loss: 0.0005
Epoch [98/2112], Loss: 0.0005
Epoch [98/2144], Loss: 0.0006
Epoch [98/2176], Loss: 0.0004
Epoch [98/2208], Loss: 0.0004
